prerequisites,course,description,unit,title
BIOCORE 381,M M & I 460,"
",3 ,TECHNIQUES IN DNA SCIENCE FOR MICROBIOLOGISTS
BIOLOGY/​BOTANY/​ZOOLOGY  152,M M & I/​MICROBIO/​PATH-BIO  528,"
Optional laboratory component of Med AHABS 350. Emphasis on experiments involving live animal parasites, including: trematodes, tapeworms, gapeworms, hookworm, ascarids, trichina, filaria, trypanosomes, coccidia, and malaria. Enroll Info: None",3 ,IMMUNOLOGY
ZOOLOGY/​BIOLOGY  101,M M & I/​PATH-BIO  529,"
",2 ,IMMUNOLOGY LABORATORY
BIOCORE 383,M M & I 554,"
Lectures and discussions. Pathogenesis, molecular biology, host-parasite interactions, immunology, epidemiology, and diagnosis of systemic, subcutaneous, and superficial fungal infections. Enroll Info: 2 sem intro biol w/lab or Biocore series 301-304; a crse in immunology or cons inst",2 ,EMERGING INFECTIOUS DISEASES AND BIOTERRORISM
MICROBIO 101,M M & I 555,"
",3 ,VACCINES: PRACTICAL ISSUES FOR A GLOBAL SOCIETY
MICROBIO 303,M M & I/​BIOCHEM  575,"
Laboratories and discussions on the ecology, sample collection, culture techniques and identification of medically important mycotic microorganisms. This is a companion lab to MMI 410. Priority given to MMI majors. Enroll Info: None",2 ,BIOLOGY OF VIRUSES
PATH-BIO/​M M & I/​MICROBIO  528,M M & I/​POP HLTH  603,"
",5 ,CLINICAL AND PUBLIC HEALTH MICROBIOLOGY
MED SC-M 810,M M & I/​BOTANY/​GENETICS/​MICROBIO/​PL PATH  655,"
Introduction to recombinant DNA techniques commonly used in prokaryotic research and clinical Microbiology laboratories. Topics include DNA isolation, agarose gel electrophoresis, restriction enzyme digestion of DNA, ligation, transformation, Southern blotting and PCR. Students are required to work independently. Enroll Info: Junior standing, ",3 ,BIOLOGY AND GENETICS OF FUNGI
811,M M & I 677, or ,1-3 ,ADVANCED TOPICS IN MEDICAL MICROBIOLOGY
812,M M & I 691, or ,3 ,FIRST SEMESTER SENIOR THESIS
813,M M & I 692,", Microbiology lecture and lab, and consent of instructor",3 ,SECOND SEMESTER SENIOR THESIS
None,M M & I 696,"
",3 ,CRITICAL THINKING IN MEDICAL MICROBIOLOGY AND IMMUNIOLOGY
None,M M & I 699,"
Development and functions of immune response in animals; a comprehensive study of experimental humoral and cellular immunity. Enroll Info: Two sem chem and one sem zoology or gen biology",1-3 ,DIRECTED STUDY
None,M M & I 701,"
",4 ,INFECTION AND IMMUNITY I
None,M M & I 704,"
Selected techniques illustrating concepts of cellular and humoral immunity as a supplement to Immunology 528. Enroll Info: Two sem of chem and one sem of zoology or gen biology. Jr or Sr st; cons inst",3 ,INFECTIOUS DISEASES OF HUMAN BEINGS
None,M M & I/​PATH-BIO  720,"
",3 ,ADVANCED IMMUNOLOGY: CRITICAL THINKING
None,M M & I/​MICROBIO  740,"
Identification of analysis and solution of emerging infectious disease problems and the problems of bioterrorism. Enroll Info: None",3 ,MECHANISMS OF MICROBIAL PATHOGENESIS
None,M M & I/​PATH-BIO  750,"
",3 ,HOST-PARASITE RELATIONSHIPS IN VERTEBRATE VIRAL DISEASE
None,M M & I/​MED SC-M  755,"
Considers innovative approaches to the development and use of vaccines in the past, today and in the future, including the public health impact and the economic, ethical and safety issues associated with vaccine development, licensing and use. Enroll Info: Senior or Graduate standing; MMI 341 or MMI 528",3 ,FOUNDATIONS OF MEDICINE 2
None,MED SC-M 699,"
Enroll Info: Open only to Med stdts",1-9 ,DIRECTED STUDY
None,MED SC-M 703,"
",3 ,INTEGRATED HEMATOLOGY SYSTEM
None,MED SC-M 706,"
Integrated hematology pathophysiology integrated with pharmacology, nutrition, and pathology. Enroll Info: Open to Grad stdts by cons inst  coordinator",4 ,INTEGRATED CARDIOVASCULAR SYSTEM
None,MED SC-M 707,"
",3 ,INTEGRATED GASTROINTESTINAL & HEPATIC SYSTEMS
None,MED SC-M 709,"
Cardiovascular pathophysiology integrated with pharmacology, nutrition, pathology, public health and ethics. Enroll Info: Open to Grad stdts by cons inst  coordinator",3 ,INTEGRATED RENAL SYSTEM
None,MED SC-M 711,"
",3 ,INTEGRATED ENDOCRINOLOGY AND REPRODUCTIVE HEALTH
None,MED SC-M 715,"
Combines pathophysiology, pathology, pharmacology, neoplasia and nutrition. Enroll Info: Open to Grad stdts by cons inst and coordinator",4 ,INTEGRATED RESPIRATORY SYSTEM
None,MED SC-M 717,"
",4 ,PHARMACOLOGY I
None,MED SC-M/​POP HLTH  719,"
Integrated renal pathophysiology integrated with pharmacology, nutrition, pathology, public health and ethics. Enroll Info: Open to Grad stdts by cons inst and coordinator",1-2 ,SEMINAR-CONTEMPORARY ISSUES IN HEALTH CARE
None,MED SC-M 721,"
",2 ,NEOPLASTIC DISEASES
None,MED SC-M/​RADIOL  722,"
Combines pathophysiology, pathology, pharmacology, neoplasia and nutrition. Enroll Info: Open to Grad stdts by cons inst and coordinator",2-4 ,CLINICAL ANATOMY AND RADIOLOGY
None,MED SC-M 724,"
",1 credit.,INTEGRATED DERMATOLOGY
None,MED SC-M 726,"
Respiratory pathophysiology integrated with pharmacology, nutrition, pathology, public health and ethics. Enroll Info: Open to Grad students by cons inst and coordinator",1 credit.,PSYCHIATRY: INTERPERSONAL AND BIOPSYCHOSOCIAL ASPECTS
None,MED SC-M 727,"
",2 ,PHARMACOLOGY II
None,MED SC-M 728,"
Lectures and discussions. For students in medicine. Enroll Info: Completion of the 1st year medical school curriculum",2 ,INTEGRATED MUSCULOSKELETAL SYSTEM
None,MED SC-M 729,"
",3 ,INTEGRATED NEUROSCIENCES
None,MED SC-M 731,"
Lecture. Social, economic and political aspects of health care delivery, including health needs and demands, doctor shortage, health team, models of delivering care, health planning, cost and financing, quality of care and international systems. Enroll Info: None",3 ,MEDICAL NEUROANATOMY
None,MED SC-M 733,"
",1 credit.,COMPLEMENTARY MEDICINE: IMPLICATIONS FOR CLINICAL PRACTICE
None,MED SC-M 734,"
Enroll Info: Open to Grad stdts by cons inst  coordinator",1 credit.,CLINICAL NUTRITION IN HUMAN HEALTH AND DISEASE
None,MED SC-M 735,"
",1 credit.,MEDICAL SPANISH FOR HEALTH SCIENCE STUDENTS
None,MED SC-M 740,"
Study of the anatomy of the head and neck, body wall, body cavities, limbs, and pelvic outlet through complete dissection of human cadavers. Hands-on experience in interpreting radiological cross-sectional images. Surgical correlates will be presented by practicing surgeons. Enroll Info: None",1 credit.,OVERVIEW OF RURAL HEALTH
None,MED SC-M 747,"
",1 credit.,PERSUASION: THE ART OF EFFECTIVELY CONVEYING HEALTH INFORMATION
None,MED SC-M 751,"
Addresses the anatomy and function of the skin and offers an overview of diseases that impact the skin. Enroll Info: Standing as med 1 student",3 ,FOUNDATIONS OF MEDICINE 1
None,MED SC-M/​M M & I  755,"
",3 ,FOUNDATIONS OF MEDICINE 2
None,MED SC-M 757,"
Advances understanding of medical models that integrate disease, health and patients in a systems manner. Examines common psychiatric disorders and their occurrence. Demonstrates usefulness of population and public health perspectives and focuses on developing advanced skills in interviewing psychiatric patients. Enroll Info: Med Sc-M 716",3 ,FOUNDATIONS OF MEDICINE 3
None,MED SC-M 759,"
",1 credit.,FOUNDATIONS OF MEDICINE 4
None,MED SC-M/​LAW/​NURSING  768,"
Continuation of 717. Enroll Info: All basic sci crses taught in the 1st yr and the 1st semester of the 2nd yr of the Med Schl curriculum",1-7 ,CONSUMER HEALTH ADVOCACY AND PATIENT-CENTERED CARE CLINICAL
None,MED SC-M/​LAW/​NURSING  769,"
",1-3 ,CONSUMER ISSUES IN HEALTH CARE
KINES 314,MEDICINE/​KINES/​NURSING  523,"
Physiological basis and methods of human exercise testing and training. Topics: clinical exercise physiology, exercise testing protocols, cardiopulmonary monitoring, basic ECG interpretation, exercise prescription. Enroll Info: None",3 ,CLINICAL EXERCISE TESTING & TRAINING
BIOCHEM 501,MEDICINE/​M&ENVTOX/​ONCOLOGY/​PHM SCI/​PHMCOL-M/​POP HLTH  625,"
",3 ,TOXICOLOGY I
PATH 404,MEDICINE/​M&ENVTOX/​PHM SCI/​PHMCOL-M/​POP HLTH  626,"
Basic principles of toxicology and biochemical mechanisms of toxicity in mammalian species and man. Correlation between morphological and functional changes caused by toxicants in different organs of the body. Enroll Info: None",3 ,TOXICOLOGY II
PHM SCI 401,MEDICINE/​INTEREGR  650,"
",1-3 ,"WOMEN AND LEADERSHIP IN MEDICINE, SCIENCE AND ENGINEERING"
POP HLTH/​M&ENVTOX/​MEDICINE/​ONCOLOGY/​PHM SCI/​PHMCOL-M  625,MEDICINE 699,"
Survey of the basic methods and fundamental biochemical mechanisms of toxicity. Toxicity in mammalian organ systems, techniques for evaluating toxicity, as well as mechanisms of species specificity, and environmental interactions (with toxicant examples) are presented. Enroll Info: None",0-5 ,INDEPENDENT STUDY
SOC/​POP HLTH  797,MEDICINE/​CRB  701,"
",1 credit.,CELL SIGNALING AND HUMAN DISEASE
STAT/​B M I  542,MEDICINE/​NURSING/​POP HLTH  705,"
Review and discussion of research on effective leadership; gender differences in leadership; unconscious assumptions about behaviors and traits of leaders; and approaches to counteracting biases. Required assignments vary with credits from reflective journal to literature review to research project. Enroll Info: Graduate students, Professional students: Upper-level undergrads with consent of instructor",2 ,SEMINAR IN INTERDISCIPLINARY CLINICAL RESEARCH EVIDENCE
MED SC-M 810,MEDICINE 710,"
",1 credit.,IMPROVISATIONAL THEATRE FOR SCIENTISTS
811,MEDICINE 720,"
Self-directed work under the supervision and guidance of an Instructor and often in conjunction with a day-to-day mentor that is a graduate student, postdoc researcher or directly with the faculty. Students normally participate in aspects of ongoing research projects. Enroll Info: None",2 ,ENDOCRINOLOGY AND METABOLISM
812,MEDICINE 809,"
",1 credit.,INTERSECTION OF HEALTH CARE AND INCARCERATION
813,MEDICINE 812,"
This course is intended for PhD and MSTP students interested in medically relevant basic science. Landmark discoveries, as well as current knowledge and controversies in human health, with an emphasis on cancer biology, will be covered. Enroll Info: Students must be enrolled in a PhD or MSTP program",1-12 ,PRINCIPLES OF INTERNAL MEDICINE-BASIC CLERKSHIP
MED SC-M 810,MEDICINE 901,"
",3 ,MSTP INTRODUCTION TO CLINICAL MEDICINE
811,MEDICINE/​PEDIAT/​RADIOL  902,"
Exploration of interdisciplinary clinical research questions including strategies for assessing the evidence and conducting a systematic review of research. An interdisciplinary perspective is emphasized throughout the course. Enroll Info: None",1-6 ,MSTP PHYSICIAN SCIENTIST PRECEPTORSHIP IN CLINICAL & TRANSLATIONAL RESEARCH
812,MEDICINE 903,"
",1-12 ,MSTP LONGITUDINAL CLINICAL CLERKSHIP IN GRADUATE SCHOOL
813,MEDICINE 904,"
Improvisers are experts in storytelling, spontaneity, and using observation skills to adjust to their audiences and team members accordingly. Among other skills, this 5-week course will teach you how to (1) effectively communicate your work to different audiences, (2) adjust your behavior in real time to respond to audience feedback, and (3) manipulate your vocal and physical presence to communicate more effectively. Enroll Info: None",2 ,SCIENCE OF CUTANEOUS DISEASE
MED SC-M 810,MEDICINE 905,"
",2 ,THE APPLIED PHYSIOLOGY OF MECHANICAL VENTILATION
811,MEDICINE 908,"
Provides a broad grounding in endocrinology and metabolism with an emphasis on human and human-related disorders wherever possible. Explores further the physiological and molecular mechanisms by which the endocrine regulation of metabolism acts to preserve mammalian health, and how dysfunction in these mechanisms leads to disease, with an emphasis on diabetes, obesity and hypertension. Enroll Info: None",2 ,MY STORY:TECHNIQUES FOR INTERVIEWING PATIENTS
812,MEDICINE 910,"
",1-12 ,INDEPENDENT READING AND RESEARCH FOR FOURTH YEAR MEDICAL STUDENTS
813,MEDICINE 915,"
With an ever growing and aging prison population, the need for adequate healthcare for incarcerated individuals is rising. Focuses on common healthcare concerns of incarcerated individuals. Topics covered include, infection control, addiction and mental health, conducting research within correctional facilities, and how to continue care for chronic conditions after release. Enroll Info: None",2-4 ,CLINICAL THERAPEUTICS - PREPARATION FOR RESIDENCY
MED SC-M 812,MEDICINE 916,"
",2-4 ,PALLIATIVE CARE
MED SC-M 810,MEDICINE 917,"
Enroll Info: 3rd yr st in Med School",4 ,RESEARCH IN TOBACCO PREVENTION AND CESSATION
811,MEDICINE/​B M I  918,"
",2 ,HEALTH INFORMATICS FOR MEDICAL STUDENTS
812,MEDICINE 919,"
Full-time clinical clerkship for students of the Medical Scientist (PhD) Training Program (MSTP) prior to graduate school, taken to develop clinical skills and cement prior didactic coursework. Enroll Info: Limited to MSTP stdts who have completed yrs 1  2 of med school  have taken USMLE Step 1",1-12 ,INDIVIDUALIZED FOURTH YEAR CLINICAL CLERKSHIP
